talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
have både til gården og til gaden,0,1,concrete misinterpretation,have udsmykning på begge sider af den ejendom som man bor i,have en stor bagdel og en stor barm,DISCREPANCY,0,,0,0,0,0
for mange kokke fordærver maden,0,2,concrete misinterpretation,maden bliver dårlig hvis der er mange om at lave den,"hvis (for) mange personer deltager i noget, risikerer det at medføre et dårligt resultat",DISCREPANCY,2,"A,C",1,0,1,0
være grebet ud af luften,1,2,abstract misinterpretation,være opstået eller sket pludseligt og uden forvarsel,være uden grundlag i virkeligheden; være frit opfundet,DISCREPANCY,2,"B,C",0,1,1,0
have nogen nede i sækken,0,3,random definition,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY,1,A,1,0,0,0
hælde ned ad brættet,1,3,concrete misinterpretation,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY,1,B,0,1,0,0
ligge på den flade hånd,0,1,concrete misinterpretation,ligge på en flad hånd,være helt oplagt eller umiddelbart tilgængelig,DISCREPANCY,0,,0,0,0,0
ingen kæde er stærkere end det svageste led,1,3,concrete misinterpretation,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY,2,"B,D",0,1,0,1
lade en dør stå på klem,2,0,concrete misinterpretation,ikke lukke en dør helt i,holde en mulighed åben,DISCREPANCY,1,C,0,0,1,0
uden for pædagogisk rækkevidde,0,1,random definition,hurtigt og i en stor mængde,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY,0,,0,0,0,0
det muntre køkken,1,3,concrete misinterpretation,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY,1,B,0,1,0,0
gå hen over hovedet på nogen,0,1,abstract misinterpretation,påvirke en person i en åndelig eller spirituel retning,ikke blive forstået af nogen,DISCREPANCY,0,,0,0,0,0
nogens hjerte springer et slag over,1,3,concrete misinterpretation,nogens hjerte slår uregelmæssigt og springer slag over der ellers skulle have været der,"nogen bliver overrumplet af en stærk følelse, fx angst, glæde eller spænding",DISCREPANCY,3,"B,C,D",0,1,1,1
"mens græsset gror, dør horsemor",0,1,concrete misinterpretation,en hoppe med føl overlever ikke sommeren,noget tager så lang tid at man ikke når det mål man har sat sig,DISCREPANCY,0,,0,0,0,0
det store dyr i åbenbaringen,0,2,abstract misinterpretation,bruges for at udtrykke når nogen eller noget er af markant bedre kvalitet end andet,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY,0,,0,0,0,0
fare i flæsket på,1,0,random definition,sikre tegn på en uundgåelig og som regel ugunstig eller farlig udvikling,komme i håndgemæng eller slåskamp med,DISCREPANCY,1,B,0,1,0,0
ofre noget på kærlighedens alter,0,2,abstract misinterpretation,"miste noget, fx kontakten til sine venner, i forbindelse med en (ulykkelig) forelskelse",give afkald på noget værdifuldt til fordel for kærligheden,DISCREPANCY,3,"A,C,D",1,0,1,1
en pind til nogens el. nogets ligkiste,1,3,abstract misinterpretation,bruges for at erklære sig enig i en negativ holdning til nogen eller noget,"en medvirkende årsag til en (uheldig, ulykkelig eller uønsket) afslutning på et forløb, en karriere eller lignende",DISCREPANCY,2,"B,D",0,1,0,1
kun en tåbe frygter ikke havet,0,2,abstract misinterpretation,det er tosset at bade i havet om vinteren,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY,0,,0,0,0,0
det melder historien ikke noget om,0,1,concrete misinterpretation,det er ikke en del af historien,"noget bestemt hører ikke til beretningen eller sagen, fx fordi det er uvedkommende, hemmeligt eller omstridt",DISCREPANCY,0,,0,0,0,0
hvis og hvis min røv var spids,0,1,abstract misinterpretation,bruges til at udtrykke at man føler væmmelse ved nogen eller noget,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden,DISCREPANCY,0,,0,0,0,0
være en spurv i tranedans,1,3,abstract misinterpretation,være klodset og uelegant i sine handlinger,ikke være så fornem som de andre; deltage i noget man ikke er egnet til,DISCREPANCY,2,"B,D",0,1,0,1
lukke for det varme vand,3,0,concrete misinterpretation,afskære en bolig adgang til varmt vand,ikke ville yde mere af noget,DISCREPANCY,1,D,0,0,0,1
toppen af isbjerget,1,3,abstract misinterpretation,en synlig del af noget der ellers ikke kan ses,"en lille del af noget meget større, ofte noget ubehageligt",DISCREPANCY,3,"B,C,D",0,1,1,1
når der er to torsdage i en uge,0,1,concrete misinterpretation,når man vælger at kalde to af ugens dage for torsdag,bruges for at udtrykke at noget er helt usandsynligt,DISCREPANCY,0,,0,0,0,0
skulle have noget ind med skeer,0,1,concrete misinterpretation,skulle mades med ske,skulle have noget forklaret på en langsom og udførlig måde (fordi man er langsomt opfattende),DISCREPANCY,0,,0,0,0,0
lægge hovedet i blød,0,1,random definition,være snu og udspekuleret,tænke sig godt om for at finde en løsning eller få en idé,DISCREPANCY,0,,0,0,0,0
gå op i hat og briller,3,0,abstract misinterpretation,være (overdrevent) forfængelig og gå op i især makeup og accessories,"udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning",DISCREPANCY,1,D,0,0,0,1
smile i skægget,1,3,abstract misinterpretation,have det roligt og hyggeligt; føre sig godt tilpas,more sig på en underfundig eller skadefro måde,DISCREPANCY,2,"B,D",0,1,0,1
"den der graver en grav for andre, falder selv i den",0,2,concrete misinterpretation,før eller siden falder man ned i den grav man har gravet for en anden,"den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer",DISCREPANCY,3,"A,C,D",1,0,1,1
lykken står den kække bi,1,2,concrete misinterpretation,en modig person bliver ofte lykkelig,"dristige, frejdige mennesker er ofte også heldige",DISCREPANCY,2,"B,C",0,1,1,0
slå ind på en anden vej,0,3,concrete misinterpretation,følge en anden vej end tidligere,"ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater",DISCREPANCY,2,"A,D",1,0,0,1
støbe kuglerne,2,3,concrete misinterpretation,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY,1,C,0,0,1,0
"når katten er ude, spiller musene på bordet",1,2,abstract misinterpretation,"når der ikke umiddelbart er tegn på fare, kan man godt tillade sig at slappe af","undlader man at holde opsyn, fører det til kåd opførsel og uorden",DISCREPANCY,2,"B,C",0,1,1,0
slå til skaglerne,0,3,concrete misinterpretation,"slå let på nogle reb, fx på en båd",slå sig løs og more sig,DISCREPANCY,0,,0,0,0,0
vende og dreje hver femøre,0,3,abstract misinterpretation,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY,2,"A,D",1,0,0,1
tale for sin syge moster,0,1,random definition,"være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet","snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY,0,,0,0,0,0
til den store guldmedalje,1,3,concrete misinterpretation,en præstation der kvalificerer til en stor medalje af guld,"energisk, dygtigt eller med held",DISCREPANCY,1,B,0,1,0,0
